Date,Action,Symbol,Shares,Price,Cost
01/08/2015,BUY,CMG,13,719.99,7.0
01/08/2015,BUY,MRVL,623,16.015,7.0
01/13/2015,SELL,MRVL,623,15.71,7.0
01/14/2015,SELL,CMG,13,709.74,7.0
01/22/2015,BUY,TSM,421,23.71,7.0
01/22/2015,BUY,CCI,117,85.25,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/29/2015,SELL,TSM,421,23.29,7.0
02/06/2015,BUY,CME,106,94.21,7.0
02/06/2015,BUY,VRSN,166,59.97,7.0
02/10/2015,BUY,SBUX,65,91.18,7.0
02/10/2015,BUY,MOH,177,56.26,7.0
02/12/2015,BUY,CCI,68,87.59,7.0
02/25/2015,BUY,SBUX,42,94.26,7.0
03/02/2015,BUY,CME,61,97.12,7.0
03/02/2015,BUY,VRSN,92,64.58,7.0
03/05/2015,BUY,MOH,96,62.27,7.0
03/16/2015,BUY,CME,39,100.06,7.0
03/25/2015,SELL,CCI,185,84.64,7.0
03/25/2015,BUY,MOH,61,64.62,7.0
03/27/2015,BUY,VRSN,60,66.295,7.0
04/02/2015,SELL,CME,206,92.91,7.0
04/09/2015,BUY,EIGI,476,20.98,7.0
04/13/2015,BUY,ISRG,18,542.31,7.0
04/15/2015,SELL,MOH,334,64.12,7.0
04/17/2015,BUY,CE,148,67.18,7.0
04/23/2015,SELL,ISRG,18,512.77,7.0
04/23/2015,BUY,EIGI,260,23.03,7.0
04/23/2015,BUY,ARRS,267,37.3,7.0
04/24/2015,SELL,VRSN,318,65.04,7.0
04/24/2015,BUY,IMS,344,29.0,7.0
04/27/2015,SELL,ARRS,267,34.98,7.0
04/28/2015,SELL,EIGI,736,19.7,7.0
04/28/2015,BUY,SC,416,24.0,7.0
04/28/2015,BUY,HQY,359,27.76,7.0
04/30/2015,SELL,HQY,359,26.21,7.0
04/30/2015,BUY,IPHI,465,21.45,7.0
05/05/2015,SELL,IMS,344,27.47,7.0
05/05/2015,SELL,IPHI,465,20.31,7.0
05/12/2015,SELL,CE,148,65.73,7.0
05/15/2015,BUY,SC,241,24.81,7.0
05/20/2015,BUY,TWC,60,166.55,7.0
05/20/2015,BUY,FLY,628,15.91,7.0
05/20/2015,BUY,ADI,150,66.18,7.0
05/26/2015,SELL,TWC,60,183.6,7.0
05/27/2015,BUY,AMED,315,31.67,7.0
06/12/2015,BUY,SC,156,25.46,7.0
06/18/2015,BUY,ADI,87,68.3,7.0
