Date,Action,Symbol,Shares,Price,Cost
01/03/2014,BUY,MKTO,242,41.22,7.0
01/03/2014,BUY,PFPT,292,34.18,7.0
01/07/2014,BUY,SPLK,132,75.39,7.0
01/09/2014,BUY,M,179,55.8,7.0
01/29/2014,SELL,M,179,53.39,7.0
01/29/2014,SELL,SPLK,132,73.03,7.0
01/29/2014,SELL,PFPT,292,34.91,7.0
02/03/2014,SELL,MKTO,242,38.83,7.0
02/10/2014,BUY,SALE,241,41.33,7.0
02/12/2014,BUY,SN,315,31.72,7.0
02/13/2014,BUY,TWC,69,144.81,7.0
02/18/2014,SELL,SN,315,29.74,7.0
02/19/2014,BUY,FLS,123,80.6,7.0
02/26/2014,BUY,HEI,159,62.7,7.0
03/04/2014,BUY,NUVA,254,39.29,7.0
03/06/2014,SELL,NUVA,254,37.29,7.0
03/10/2014,SELL,SALE,241,40.6,7.0
03/11/2014,BUY,EMES,199,50.1,7.0
03/13/2014,SELL,TWC,69,137.49,7.0
03/13/2014,SELL,FLS,123,75.74,7.0
03/26/2014,SELL,HEI,159,58.74,7.0
05/16/2014,SELL,EMES,199,76.4,7.0
05/28/2014,BUY,CAL,341,29.3,7.0
06/02/2014,SELL,CAL,341,27.83,7.0
06/17/2014,BUY,JWA,166,60.1,7.0
06/19/2014,BUY,GLOG,334,29.88,7.0
06/20/2014,BUY,GMLP,269,37.08,7.0
06/20/2014,BUY,KS,300,33.21,7.0
06/25/2014,BUY,GCI,325,30.67,7.0
07/07/2014,SELL,GLOG,334,28.23,7.0
07/07/2014,SELL,KS,300,30.55,7.0
07/11/2014,SELL,GMLP,269,35.05,7.0
08/07/2014,SELL,JWA,166,58.94,7.0
09/04/2014,BUY,MEI,251,39.72,7.0
09/05/2014,BUY,GCI,178,33.5,7.0
09/09/2014,SELL,GCI,503,32.38,7.0
09/25/2014,SELL,MEI,251,38.04,7.0
10/21/2014,BUY,AKRX,242,41.29,7.0
10/27/2014,BUY,EPAM,213,46.91,7.0
10/30/2014,BUY,BMY,169,58.98,7.0
10/30/2014,BUY,BIN,353,28.25,7.0
10/30/2014,BUY,CACI,121,82.05,7.0
11/06/2014,SELL,AKRX,242,37.88,7.0
12/16/2014,SELL,EPAM,213,46.24,7.0
12/16/2014,SELL,BMY,169,57.69,7.0
12/16/2014,SELL,CACI,121,83.36,7.0
12/18/2014,BUY,KRFT,157,63.38,7.0
12/24/2014,BUY,BIN,196,30.43,7.0
01/12/2015,SELL,BIN,549,28.85,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
02/10/2015,BUY,SEE,220,45.27,7.0
02/11/2015,BUY,SCI,409,24.39,7.0
02/13/2015,BUY,EIGI,512,19.49,7.0
03/06/2015,SELL,KRFT,157,62.02,7.0
03/11/2015,SELL,EIGI,512,18.11,7.0
03/12/2015,BUY,SBUX,64,93.38,7.0
04/09/2015,BUY,SBUX,83,47.96,7.0
04/15/2015,SELL,SEE,220,44.46,7.0
04/28/2015,BUY,HQY,359,27.76,7.0
04/29/2015,BUY,XPO,204,48.83,7.0
04/30/2015,SELL,HQY,359,26.21,7.0
05/20/2015,BUY,TWC,60,166.55,7.0
05/26/2015,SELL,TWC,60,183.6,7.0
05/27/2015,BUY,AMED,315,31.67,7.0
06/05/2015,BUY,JUNO,146,68.36,7.0
06/09/2015,SELL,JUNO,146,62.14,7.0
06/09/2015,BUY,CMN,192,52.0,7.0
06/12/2015,SELL,XPO,204,47.46,7.0
06/17/2015,BUY,RDUS,193,51.73,7.0
