Date,Action,Symbol,Shares,Price,Cost
01/22/2015,BUY,TSM,421,23.71,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/30/2015,SELL,TSM,421,22.71,7.0
02/05/2015,BUY,SBH,309,32.24,7.0
02/10/2015,BUY,SEE,220,45.27,7.0
02/11/2015,BUY,SCI,409,24.39,7.0
02/13/2015,BUY,EIGI,512,19.49,7.0
03/09/2015,BUY,SBUX,64,93.04,7.0
03/10/2015,SELL,SBUX,177,92.18,7.0
03/11/2015,SELL,EIGI,512,18.11,7.0
03/20/2015,BUY,HNI,185,53.85,7.0
03/20/2015,BUY,OC,235,42.43,7.0
04/01/2015,BUY,SCI,228,26.25,7.0
04/09/2015,SELL,SBH,309,33.2,7.0
04/09/2015,BUY,EIGI,476,20.98,7.0
04/15/2015,SELL,SEE,220,44.46,7.0
04/23/2015,SELL,HNI,185,51.27,7.0
04/23/2015,SELL,OC,235,41.22,7.0
04/23/2015,BUY,JCI,188,52.9,7.0
04/24/2015,BUY,IMS,344,29.0,7.0
04/24/2015,BUY,DNKN,184,54.03,7.0
04/28/2015,SELL,EIGI,476,19.7,7.0
04/28/2015,BUY,SC,416,24.0,7.0
05/05/2015,SELL,JCI,188,50.18,7.0
05/05/2015,SELL,IMS,344,27.47,7.0
05/05/2015,SELL,DNKN,184,51.22,7.0
05/20/2015,BUY,TWC,60,166.55,7.0
05/20/2015,BUY,ADI,150,66.18,7.0
05/26/2015,SELL,TWC,60,183.6,7.0
05/27/2015,BUY,AMED,315,31.67,7.0
05/28/2015,BUY,EPAM,138,72.01,7.0
06/09/2015,BUY,SCI,137,29.11,7.0
